invoice_id,customer_id,invoice_amount,invoice_date,due_date,delay_days,payment_date,industry,region,past_avg_delay,total_outstanding,num_invoices,late_flag
INV00000,1051,54413,2023-05-26,2023-06-25,3,2023-06-28,Healthcare,US,2,70788,3,1
INV00001,1092,27149,2023-04-17,2023-05-17,20,2023-06-06,Healthcare,Germany,11,103018,20,1
INV00002,1014,16540,2023-12-25,2024-01-24,16,2024-02-09,SaaS,US,9,78588,17,1
INV00003,1071,71248,2023-04-20,2023-05-20,3,2023-05-23,Retail,UK,6,178746,16,1
INV00004,1060,92737,2023-10-03,2023-11-02,16,2023-11-18,Retail,India,13,195509,11,1
INV00005,1020,86435,2023-07-29,2023-08-28,11,2023-09-08,Retail,UK,7,92843,13,1
INV00006,1082,20787,2023-05-19,2023-06-18,11,2023-06-29,SaaS,India,3,124436,18,1
INV00007,1086,21982,2023-03-27,2023-04-26,17,2023-05-13,Manufacturing,US,12,179604,14,1
INV00008,1074,23606,2023-02-13,2023-03-15,21,2023-04-05,Healthcare,UK,12,143937,34,1
INV00009,1074,11150,2023-03-23,2023-04-22,11,2023-05-03,Retail,India,12,55657,12,1
INV00010,1087,86929,2023-03-05,2023-04-04,15,2023-04-19,Healthcare,US,10,49628,22,1
INV00011,1099,47936,2023-12-09,2024-01-08,14,2024-01-22,SaaS,UK,8,17705,21,1
INV00012,1023,94286,2023-11-17,2023-12-17,6,2023-12-23,Healthcare,Germany,5,182129,26,1
INV00013,1002,9593,2023-02-24,2023-03-26,19,2023-04-14,SaaS,UK,13,167858,42,1
INV00014,1021,18358,2023-03-15,2023-04-14,2,2023-04-16,Manufacturing,US,0,173494,39,1
INV00015,1052,83143,2023-05-09,2023-06-08,1,2023-06-09,Retail,UK,4,83754,2,1
INV00016,1001,38381,2023-09-13,2023-10-13,9,2023-10-22,SaaS,US,4,49237,49,1
INV00017,1087,91347,2023-08-19,2023-09-18,15,2023-10-03,Healthcare,India,10,94809,16,1
INV00018,1029,29074,2023-05-17,2023-06-16,8,2023-06-24,SaaS,UK,6,186522,34,1
INV00019,1037,21595,2023-12-17,2024-01-16,10,2024-01-26,SaaS,US,6,124378,11,1
INV00020,1001,45194,2023-12-21,2024-01-20,4,2024-01-24,Manufacturing,US,4,34792,19,1
INV00021,1063,50377,2023-04-22,2023-05-22,6,2023-05-28,Retail,Germany,5,114410,30,1
INV00022,1059,27853,2023-11-04,2023-12-04,15,2023-12-19,SaaS,India,14,86043,7,1
INV00023,1020,74719,2023-05-26,2023-06-25,10,2023-07-05,SaaS,Germany,7,68871,27,1
INV00024,1032,21661,2023-02-02,2023-03-04,17,2023-03-21,Healthcare,Germany,14,114376,22,1
INV00025,1075,51493,2023-09-17,2023-10-17,10,2023-10-27,SaaS,UK,7,196269,17,1
INV00026,1057,37495,2023-03-28,2023-04-27,2,2023-04-29,SaaS,US,1,16899,15,1
INV00027,1021,14703,2023-11-27,2023-12-27,0,2023-12-27,Retail,US,0,168316,9,0
INV00028,1088,54080,2023-09-22,2023-10-22,17,2023-11-08,Retail,US,13,70179,12,1
INV00029,1048,31815,2023-11-16,2023-12-16,9,2023-12-25,Healthcare,UK,12,28584,8,1
INV00030,1090,30565,2023-01-30,2023-03-01,9,2023-03-10,SaaS,UK,12,16020,2,1
INV00031,1058,64321,2023-08-20,2023-09-19,8,2023-09-27,SaaS,India,6,37983,49,1
INV00032,1041,59453,2023-03-17,2023-04-16,7,2023-04-23,SaaS,Germany,9,150323,48,1
INV00033,1091,89478,2023-05-09,2023-06-08,22,2023-06-30,Manufacturing,India,14,169019,16,1
INV00034,1059,34161,2023-09-28,2023-10-28,13,2023-11-10,Manufacturing,India,14,56838,3,1
INV00035,1079,56991,2023-03-30,2023-04-29,6,2023-05-05,Healthcare,UK,6,118996,48,1
INV00036,1014,10716,2023-06-19,2023-07-19,7,2023-07-26,Manufacturing,US,9,59731,31,1
INV00037,1061,34349,2023-05-08,2023-06-07,9,2023-06-16,Healthcare,UK,3,21760,43,1
INV00038,1061,48098,2023-06-23,2023-07-23,6,2023-07-29,SaaS,UK,3,126648,26,1
INV00039,1046,1132,2023-01-26,2023-02-25,17,2023-03-14,Manufacturing,UK,11,69646,41,1
INV00040,1061,52990,2023-03-02,2023-04-01,0,2023-04-01,Retail,India,3,154283,46,0
INV00041,1050,69921,2023-03-08,2023-04-07,8,2023-04-15,Manufacturing,US,9,29156,2,1
INV00042,1054,37538,2023-01-26,2023-02-25,-1,2023-02-24,SaaS,UK,1,160033,30,0
INV00043,1063,8213,2023-03-24,2023-04-23,14,2023-05-07,Retail,India,5,180258,13,1
INV00044,1002,45223,2023-12-30,2024-01-29,18,2024-02-16,Healthcare,UK,13,154783,37,1
INV00045,1050,92655,2023-03-01,2023-03-31,13,2023-04-13,SaaS,Germany,9,34520,14,1
INV00046,1006,69371,2023-02-08,2023-03-10,2,2023-03-12,Retail,US,3,95864,1,1
INV00047,1020,69274,2023-05-03,2023-06-02,8,2023-06-10,Manufacturing,India,7,94504,32,1
INV00048,1072,5134,2023-10-19,2023-11-18,2,2023-11-20,Healthcare,Germany,3,131049,6,1
INV00049,1038,92428,2023-10-04,2023-11-03,18,2023-11-21,Manufacturing,UK,11,160897,22,1
INV00050,1017,40601,2023-10-31,2023-11-30,20,2023-12-20,Retail,Germany,11,118553,11,1
INV00051,1003,74889,2023-10-09,2023-11-08,13,2023-11-21,Retail,Germany,5,173576,49,1
INV00052,1088,16690,2023-07-10,2023-08-09,20,2023-08-29,SaaS,India,13,44238,23,1
INV00053,1059,2909,2023-10-19,2023-11-18,22,2023-12-10,Healthcare,US,14,125289,14,1
INV00054,1013,92239,2023-06-01,2023-07-01,20,2023-07-21,Healthcare,US,13,124554,14,1
INV00055,1008,81032,2023-08-21,2023-09-20,8,2023-09-28,Retail,India,6,51883,20,1
INV00056,1089,13062,2023-05-26,2023-06-25,3,2023-06-28,SaaS,UK,2,35642,7,1
INV00057,1052,76386,2023-09-28,2023-10-28,11,2023-11-08,Retail,Germany,4,77056,19,1
INV00058,1001,94237,2023-12-01,2023-12-31,2,2024-01-02,Retail,US,4,164371,26,1
INV00059,1083,35731,2023-05-14,2023-06-13,20,2023-07-03,Healthcare,US,14,180118,22,1
INV00060,1091,6153,2023-06-20,2023-07-20,18,2023-08-07,Manufacturing,Germany,14,9576,6,1
INV00061,1059,11481,2023-01-28,2023-02-27,16,2023-03-15,Manufacturing,UK,14,12183,13,1
INV00062,1070,67425,2023-05-16,2023-06-15,8,2023-06-23,Healthcare,Germany,9,195172,10,1
INV00063,1043,64600,2023-08-29,2023-09-28,9,2023-10-07,SaaS,India,0,135949,19,1
INV00064,1007,85981,2023-12-10,2024-01-09,11,2024-01-20,Healthcare,India,2,81350,31,1
